x,94,131,171,193,211,335
5.013422819,2.3054054264329812e-30,5.4558140229678726e-30,1.21e-27,1.5500000000000001e-27,1.8033333335982222e-27,1.0600000000000002e-27
5.019407943611222,2.887474971240801e-30,7.442624853978588e-30,1.1845204696359816e-27,1.5381095523280606e-27,1.8092785573160804e-27,1.0399930295248113e-27
5.025393068222445,3.4695445160486206e-30,9.429435684989304e-30,1.1590409392719633e-27,1.5262191046561211e-27,1.8152237810339385e-27,1.0199860590496224e-27
5.031378192833667,4.0516140608564396e-30,1.1416246516000019e-29,1.1335614089079449e-27,1.5143286569841815e-27,1.8211690047517963e-27,9.999790885744336e-28
5.037363317444889,4.633683605664173e-30,1.3403057347010438e-29,1.1080818785439304e-27,1.5024382093122438e-27,1.8271142284696538e-27,9.799721180992476e-28
5.043348442056112,5.215753150471993e-30,1.5389868178021155e-29,1.0826023481799119e-27,1.4905477616403043e-27,1.8330594521875116e-27,9.599651476240587e-28
5.049333566667334,5.7978226952798126e-30,1.7376679009031872e-29,1.0571228178158936e-27,1.4786573139683648e-27,1.8390046759053698e-27,9.399581771488698e-28
5.055318691278557,6.379892240087632e-30,1.9363489840042585e-29,1.0316432874518751e-27,1.4715314843778974e-27,1.844949899623228e-27,9.19951206673681e-28
5.061303815889779,6.961961784895452e-30,2.1350300671053302e-29,1.009345441047891e-27,1.4771638016667385e-27,1.858056110286981e-27,8.999442361984921e-28
5.067288940501002,7.544031329703271e-30,2.3337111502064018e-29,1.0049979961448282e-27,1.4827961189555798e-27,1.911563125190355e-27,8.799372657233032e-28
5.073274065112224,8.126100874511004e-30,2.5323922333074435e-29,1.0006505512417664e-27,1.48842843624442e-27,1.965070140093721e-27,8.599302952481173e-28
5.079259189723446,8.708170419318825e-30,2.731073316408515e-29,9.963031063387039e-28,1.494060753533261e-27,2.0185771549970947e-27,8.399233247729284e-28
5.085244314334669,9.290239964126644e-30,2.929754399509587e-29,9.919556614356414e-28,1.4996930708221023e-27,2.0720841699004685e-27,8.199163542977395e-28
5.091229438945891,9.872309508934463e-30,3.1284354826106585e-29,9.876082165325787e-28,1.5053253881109434e-27,2.125591184803842e-27,8.009203233194198e-28
5.097214563557114,1.0454379053742283e-29,3.32711656571173e-29,9.832607716295162e-28,1.5109577053997845e-27,2.1790981997072157e-27,7.905879343787239e-28
5.103199688168337,1.1036448598550102e-29,3.525797648812802e-29,9.789133267264536e-28,1.5165900226886256e-27,2.2326052146105895e-27,7.80255545438028e-28
5.109184812779559,1.1618518143357923e-29,3.7244787319138735e-29,9.745658818233911e-28,1.5222223399774669e-27,2.3032986067643963e-27,7.699231564973322e-28
5.115169937390781,1.2200587688165656e-29,3.9231598150149154e-29,9.780770106869037e-28,1.527854657266307e-27,2.4138797679165388e-27,7.595907675566378e-28
